Category,Clue,Answer,Value
History,This president was born in 1732,Who is George Washington?,200
History,H2O is the chemical formula for this,What is water?,400
History,This planet is known as the Red Planet,What is Mars?,600
History,This author wrote Romeo and Juliet,Who is Shakespeare?,800
History,This element has the symbol Au,What is gold?,1000
Science,This president was born in 1732,Who is George Washington?,200
Science,H2O is the chemical formula for this,What is water?,400
Science,This planet is known as the Red Planet,What is Mars?,600
Science,This author wrote Romeo and Juliet,Who is Shakespeare?,800
Science,This element has the symbol Au,What is gold?,1000
Pop Culture,This president was born in 1732,Who is George Washington?,200
Pop Culture,H2O is the chemical formula for this,What is water?,400
Pop Culture,This planet is known as the Red Planet,What is Mars?,600
Pop Culture,This author wrote Romeo and Juliet,Who is Shakespeare?,800
Pop Culture,This element has the symbol Au,What is gold?,1000
Geography,This president was born in 1732,Who is George Washington?,200
Geography,H2O is the chemical formula for this,What is water?,400
Geography,This planet is known as the Red Planet,What is Mars?,600
Geography,This author wrote Romeo and Juliet,Who is Shakespeare?,800
Geography,This element has the symbol Au,What is gold?,1000
Sports,This president was born in 1732,Who is George Washington?,200
Sports,H2O is the chemical formula for this,What is water?,400
Sports,This planet is known as the Red Planet,What is Mars?,600
Sports,This author wrote Romeo and Juliet,Who is Shakespeare?,800
Sports,This element has the symbol Au,What is gold?,1000
Movies,This president was born in 1732,Who is George Washington?,200
Movies,H2O is the chemical formula for this,What is water?,400
Movies,This planet is known as the Red Planet,What is Mars?,600
Movies,This author wrote Romeo and Juliet,Who is Shakespeare?,800
Movies,This element has the symbol Au,What is gold?,1000
